ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755172463.9163008,2.16.158.91,10.7.72.134,1,0.51,340.0,478403.0,4.816460609436035,1407.0676470588235,335.67086226959975,56.0,1514.0,0.014207848405416033,0.03810161193213511,1.0,340.0,164.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.0037766,2.16.158.91,10.7.72.134,1,0.51,350.0,493543.0,4.933161020278931,1410.1228571428571,331.32010295242895,56.0,1514.0,0.01413513186326341,0.037975890176946345,1.0,350.0,166.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.0775921,2.16.158.91,10.7.72.134,1,0.51,360.0,508683.0,5.006287097930908,1413.0083333333334,327.1317309204352,56.0,1514.0,0.013945089409278296,0.03761772682333646,1.0,360.0,168.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.1641243,2.16.158.91,10.7.72.134,1,0.51,370.0,523823.0,5.089606523513794,1415.7378378378378,323.0960762903876,56.0,1514.0,0.013792971608438466,0.03731969316888281,1.0,370.0,170.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.2307298,2.16.158.91,10.7.72.134,1,0.51,380.0,538963.0,5.162040710449219,1418.3236842105264,319.2042374852374,56.0,1514.0,0.013620160185881844,0.03698768534054399,1.0,380.0,172.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.3141258,2.16.158.91,10.7.72.134,1,0.51,390.0,554103.0,5.237614393234253,1420.7769230769231,315.44800698131104,56.0,1514.0,0.013464304352787282,0.036681817585983996,1.0,390.0,174.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.3984957,2.16.158.91,10.7.72.134,1,0.51,400.0,569243.0,5.326085805892944,1423.1075,311.81980524615494,56.0,1514.0,0.013348585979681565,0.03644571346005631,1.0,400.0,176.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.496944,2.16.158.91,10.7.72.134,1,0.51,410.0,584383.0,5.416132926940918,1425.3243902439024,308.312621894969,56.0,1514.0,0.013242378794476572,0.036250602771137654,1.0,410.0,178.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.5643027,2.16.158.91,10.7.72.134,1,0.51,420.0,599523.0,5.4830217361450195,1427.4357142857143,304.9199632076998,56.0,1514.0,0.013085970730656371,0.03596323271557395,1.0,420.0,180.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.6497023,2.16.158.91,10.7.72.134,1,0.51,430.0,614663.0,5.579890727996826,1429.4488372093024,301.63580525241997,56.0,1514.0,0.013006738293698895,0.035790871415451286,1.0,430.0,182.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
